Age BP RP G
5.0 -2.081609 -1.605102 -1.900678
5.0 -2.085863 -1.601448 -1.901539
5.0 -2.091207 -1.599283 -1.903618
5.0 -2.100217 -1.600666 -1.909235
5.0 -2.113487 -1.606236 -1.919016
5.0 -2.130207 -1.615242 -1.932177
5.0 -2.14817 -1.625741 -1.946615
5.0 -2.163074 -1.633778 -1.958226
5.0 -2.168451 -1.634089 -1.961138
5.0 -2.163481 -1.626662 -1.954973
5.0 -2.157411 -1.62383 -1.95053
5.0 -2.14954 -1.620555 -1.94491
5.0 -2.161454 -1.632627 -1.956896
5.0 -2.169999 -1.638888 -1.964352
5.0 -2.176513 -1.644558 -1.970472
5.0 -2.195657 -1.662847 -1.989204
5.0 -2.233045 -1.698935 -2.025943
5.0 -2.286581 -1.750678 -2.078561
5.0 -2.336747 -1.799182 -2.127858
5.0 -2.403753 -1.864078 -2.19373
5.0 -2.470648 -1.92908 -2.259561
5.0 -2.524766 -1.981901 -2.312888
5.0 -2.571438 -2.027668 -2.358946
5.0 -2.618205 -2.073706 -2.405151
5.0 -2.663814 -2.118769 -2.450268
5.0 -2.709662 -2.164209 -2.495668
5.0 -2.753917 -2.208188 -2.539532
5.0 -2.799125 -2.253204 -2.584374
5.0 -2.844714 -2.298669 -2.629622
5.0 -2.890818 -2.34469 -2.675401
5.0 -2.94212 -2.395909 -2.726355
5.0 -3.0058 -2.459428 -2.789602
5.0 -3.055095 -2.508499 -2.838548
5.0 -3.091405 -2.54456 -2.874587
5.0 -3.12656 -2.579385 -2.909458
5.0 -3.167359 -2.619664 -2.949895
5.0 -3.212179 -2.663833 -2.994308
5.0 -3.258607 -2.70956 -3.040321
5.0 -3.310982 -2.761114 -3.092241
5.0 -3.364254 -2.813497 -3.145051
5.0 -3.415144 -2.863482 -3.195497
5.0 -3.465632 -2.913015 -3.245541
5.0 -3.517273 -2.963613 -3.296719
5.0 -3.567888 -3.013137 -3.346868
5.0 -3.619141 -3.063216 -3.397636
5.0 -3.67667 -3.119401 -3.454625
5.0 -3.736791 -3.17802 -3.514157
5.0 -3.795159 -3.234671 -3.571893
5.0 -3.853684 -3.291221 -3.629727
5.0 -3.911548 -3.346981 -3.686877
5.0 -3.970051 -3.403308 -3.744653
5.0 -4.03611 -3.467056 -3.809938
5.0 -4.095517 -3.524599 -3.868713
5.0 -4.148528 -3.576175 -3.921225
5.0 -4.236929 -3.662665 -4.008923
5.0 -4.346474 -3.77071 -4.117819
5.0 -4.395306 -3.819155 -4.166435
5.0 -4.442007 -3.865615 -4.212964
5.0 -4.476871 -3.900374 -4.247722
