Age BP RP G
5.0 7.101481 5.550901 6.340868
5.0 7.061173 5.516664 6.304341
5.0 6.982573 5.449829 6.233046
5.0 6.904818 5.383682 6.162464
5.0 6.828053 5.318356 6.092738
5.0 6.752297 5.253782 6.023795
5.0 6.677513 5.190015 5.955696
5.0 6.603634 5.127016 5.888403
5.0 6.530787 5.064908 5.822042
5.0 6.458944 5.003677 5.756594
5.0 6.388308 4.943494 5.692244
5.0 6.31899 4.884459 5.629094
5.0 6.251237 4.826815 5.567391
5.0 6.184625 4.770215 5.506743
5.0 6.103064 4.700904 5.43244
5.0 6.021254 4.631592 5.358105
5.0 5.939461 4.562309 5.283772
5.0 5.857624 4.492875 5.209364
5.0 5.775908 4.423614 5.135087
5.0 5.694429 4.354639 5.061039
5.0 5.613403 4.286123 4.987423
5.0 5.528605 4.214398 4.910427
5.0 5.412279 4.115079 4.80417
5.0 5.294823 4.014895 4.696823
5.0 5.176003 3.913652 4.588163
5.0 5.055763 3.811188 4.478141
5.0 4.959095 3.728554 4.389269
5.0 4.864537 3.647754 4.30242
5.0 4.770181 3.567122 4.2158
5.0 4.675872 3.486493 4.129244
5.0 4.512848 3.350615 3.981638
5.0 4.423782 3.276921 3.90138
5.0 4.297851 3.172609 3.787712
5.0 4.214083 3.103093 3.711969
5.0 4.169847 3.066451 3.671976
5.0 4.068446 2.982388 3.580203
5.0 4.024178 2.945634 3.540087
5.0 3.880362 2.826028 3.409557
5.0 3.758079 2.723946 3.298272
5.0 3.637173 2.622843 3.188083
5.0 3.534193 2.536373 3.093995
5.0 3.441214 2.45816 3.008919
5.0 3.349962 2.381402 2.925375
5.0 3.267413 2.3119 2.849724
5.0 3.187307 2.244505 2.776297
5.0 3.111417 2.179834 2.70627
5.0 3.047445 2.121755 2.645363
5.0 2.983652 2.063864 2.584631
5.0 2.92779 2.013099 2.531408
5.0 2.875237 1.965331 2.481337
5.0 2.820853 1.915811 2.429468
5.0 2.751231 1.851397 2.362529
5.0 2.685144 1.790439 2.299072
5.0 2.621546 1.73191 2.238066
5.0 2.558881 1.674288 2.17797
5.0 2.49538 1.61586 2.117047
5.0 2.430086 1.555692 2.054349
5.0 2.363295 1.494148 1.990207
5.0 2.296426 1.432654 1.926045
5.0 2.230978 1.372703 1.863354
5.0 2.167859 1.315193 1.803037
5.0 2.10692 1.259969 1.744941
5.0 2.04736 1.206217 1.68826
5.0 1.98812 1.152905 1.631948
5.0 1.928632 1.098473 1.574949
5.0 1.866962 1.040199 1.514944
5.0 1.803613 0.980297 1.453282
5.0 1.739684 0.919888 1.391069
5.0 1.675512 0.859354 1.328668
5.0 1.610866 0.798407 1.265817
5.0 1.545522 0.736866 1.202314
5.0 1.479462 0.674706 1.138135
5.0 1.412654 0.611889 1.073247
5.0 1.345057 0.548372 1.007607
5.0 1.276532 0.484037 0.941085
5.0 1.20702 0.418824 0.873621
5.0 1.136375 0.352606 0.805078
5.0 1.064459 0.285258 0.735323
5.0 0.935384 0.163307 0.609594
5.0 0.928064 0.156296 0.602417
5.0 0.921147 0.149703 0.595652
5.0 0.702283 -0.059491 0.381258
5.0 0.694557 -0.066872 0.37369
5.0 0.194693 -0.545252 -0.116558
5.0 0.102506 -0.633882 -0.207186
5.0 -0.001445 -0.733721 -0.309343
5.0 -0.124925 -0.852108 -0.430609
5.0 -0.404718 -1.11862 -0.704633
5.0 -0.654656 -1.351632 -0.947179
5.0 -0.875189 -1.548675 -1.157467
5.0 -1.036212 -1.682718 -1.306912
5.0 -1.16522 -1.780197 -1.422634
5.0 -1.273399 -1.851011 -1.5151
5.0 -1.366354 -1.902194 -1.590727
5.0 -1.451187 -1.944811 -1.658435
5.0 -1.53187 -1.982993 -1.722286
5.0 -1.611866 -2.018619 -1.785194
5.0 -1.69191 -2.051976 -1.847685
5.0 -1.768609 -2.081169 -1.906212
5.0 -1.840848 -2.105819 -1.961626
5.0 -1.959801 -2.138611 -2.049486
5.0 -2.064891 -2.163482 -2.125998
5.0 -2.132445 -2.172804 -2.172269
5.0 -2.15638 -2.170333 -2.185879
5.0 -2.166807 -2.164951 -2.189877
5.0 -2.173683 -2.157302 -2.190715
5.0 -2.178036 -2.147994 -2.189325
5.0 -2.180292 -2.137492 -2.186176
5.0 -2.180871 -2.125733 -2.181495
5.0 -2.180349 -2.11307 -2.17579
5.0 -2.178715 -2.097235 -2.168105
5.0 -2.175426 -2.079612 -2.158692
5.0 -2.171093 -2.061427 -2.148437
5.0 -2.166775 -2.04529 -2.139073
5.0 -2.161816 -2.02865 -2.129127
5.0 -2.156299 -2.011561 -2.118672
5.0 -2.150144 -1.993767 -2.107557
5.0 -2.143661 -1.975788 -2.096164
5.0 -2.137115 -1.958134 -2.084855
5.0 -2.131098 -1.942057 -2.074526
5.0 -2.124872 -1.925822 -2.064013
5.0 -2.118434 -1.909236 -2.053228
5.0 -2.111532 -1.891069 -2.041498
5.0 -2.104526 -1.872884 -2.029698
5.0 -2.097493 -1.854771 -2.01791
5.0 -2.090475 -1.836763 -2.006171
5.0 -2.08346 -1.818848 -1.994467
5.0 -2.076516 -1.801121 -1.982874
5.0 -2.069641 -1.783573 -1.971386
5.0 -2.062883 -1.766251 -1.960052
5.0 -2.05626 -1.749168 -1.948888
5.0 -2.049765 -1.73232 -1.937892
5.0 -2.043383 -1.715705 -1.927046
5.0 -2.037198 -1.699371 -1.916438
5.0 -2.030914 -1.683001 -1.905786
5.0 -2.024502 -1.66662 -1.89504
5.0 -2.018073 -1.650302 -1.884318
5.0 -2.011829 -1.634228 -1.873816
5.0 -2.006034 -1.618659 -1.863791
5.0 -2.001312 -1.603988 -1.854764
5.0 -1.997864 -1.591299 -1.847317
5.0 -1.995976 -1.581911 -1.842182
5.0 -1.995053 -1.572769 -1.8377
5.0 -1.996 -1.56248 -1.833793
5.0 -1.998774 -1.555465 -1.832378
5.0 -2.002668 -1.549758 -1.832192
5.0 -2.007557 -1.54512 -1.833045
5.0 -2.013425 -1.541679 -1.834966
5.0 -2.020316 -1.539614 -1.838036
5.0 -2.028333 -1.539158 -1.842386
5.0 -2.037625 -1.540585 -1.848192
5.0 -2.051662 -1.546795 -1.85866
5.0 -2.072088 -1.559095 -1.875288
5.0 -2.095011 -1.574179 -1.894442
5.0 -2.11727 -1.5891 -1.913096
5.0 -2.135903 -1.601202 -1.928442
5.0 -2.147844 -1.607778 -1.937575
5.0 -2.150392 -1.606647 -1.937963
5.0 -2.14531 -1.599684 -1.931434
5.0 -2.134449 -1.587954 -1.919768
5.0 -2.129304 -1.582686 -1.914593
5.0 -2.133621 -1.587805 -1.919777
5.0 -2.136573 -1.592 -1.923759
5.0 -2.154672 -1.609001 -1.940967
5.0 -2.165983 -1.619885 -1.951913
5.0 -2.191074 -1.644634 -1.976657
5.0 -2.233917 -1.687172 -2.019092
5.0 -2.291885 -1.74489 -2.076591
5.0 -2.363124 -1.815899 -2.147299
5.0 -2.443292 -1.895753 -2.226876
5.0 -2.488037 -1.940228 -2.271275
5.0 -2.528447 -1.980296 -2.311352
5.0 -2.569398 -2.020776 -2.351938
5.0 -2.612436 -2.063207 -2.394573
5.0 -2.661944 -2.112 -2.443631
5.0 -2.709131 -2.158478 -2.490399
5.0 -2.750524 -2.199231 -2.531432
5.0 -2.791691 -2.239732 -2.572246
5.0 -2.831347 -2.278714 -2.611559
5.0 -2.87254 -2.319174 -2.652397
5.0 -2.912663 -2.358543 -2.692169
5.0 -2.949567 -2.39472 -2.728747
5.0 -2.98865 -2.432992 -2.767477
5.0 -3.032978 -2.476377 -2.811406
5.0 -3.078214 -2.520603 -2.856224
5.0 -3.125546 -2.566809 -2.903098
5.0 -3.172558 -2.612536 -2.949616
5.0 -3.217474 -2.656053 -2.994021
5.0 -3.262679 -2.69972 -3.038683
5.0 -3.308552 -2.743961 -3.083992
5.0 -3.354597 -2.788346 -3.129469
5.0 -3.400283 -2.832423 -3.174605
5.0 -3.448167 -2.878716 -3.221939
5.0 -3.497305 -2.926375 -3.270555
5.0 -3.54776 -2.975511 -3.320525
5.0 -3.600761 -3.027386 -3.373085
5.0 -3.661608 -3.087317 -3.433529
5.0 -3.729774 -3.154841 -3.501347
5.0 -3.801392 -3.226097 -3.572682
5.0 -3.875784 -3.300369 -3.646848
5.0 -3.927847 -3.352466 -3.69879
5.0 -3.98085 -3.405575 -3.751689
5.0 -4.121267 -3.546528 -3.891904
5.0 -4.190046 -3.615648 -3.960609
5.0 -4.263232 -3.689226 -4.033727
5.0 -4.342375 -3.768796 -4.1128
5.0 -4.421412 -3.848241 -4.191764
5.0 -4.50018 -3.927372 -4.27045
5.0 -4.579587 -4.007068 -4.349759
5.0 -4.66769 -4.095357 -4.437725
5.0 -4.753821 -4.181498 -4.523681
5.0 -4.935016 -4.361941 -4.704334
5.0 -4.950185 -4.37699 -4.719446
5.0 -4.964818 -4.3915 -4.734022
5.0 -4.979001 -4.405556 -4.748147
5.0 -4.993649 -4.420067 -4.762734
5.0 -5.008769 -4.435039 -4.77779
5.0 -5.023959 -4.450073 -4.792913
5.0 -5.038575 -4.464533 -4.807464
5.0 -5.054298 -4.480083 -4.823116
5.0 -5.070224 -4.495824 -4.838967
5.0 -5.514319 -4.934202 -5.281019
5.0 -5.473343 -4.892645 -5.239849
5.0 -5.473676 -4.892982 -5.240183
5.0 -6.009344 -5.424873 -5.774608
5.0 -6.061866 -5.476521 -5.826844
5.0 -6.087037 -5.500932 -5.851768
5.0 -6.137382 -5.550301 -5.901792
5.0 -6.171774 -5.583951 -5.935942
5.0 -6.211586 -5.622747 -5.975417
5.0 -6.304759 -5.713733 -6.067855
5.0 -6.330166 -5.738696 -6.093109
5.0 -6.460595 -5.868218 -6.223226
5.0 -6.730825 -6.13699 -6.492952
5.0 -6.976211 -6.381074 -6.737891
5.0 -7.080883 -6.485286 -6.842404
5.0 -7.13686 -6.541085 -6.898321
5.0 -7.219543 -6.623497 -6.98091
5.05 7.166282 5.614002 6.404603
5.05 7.127963 5.581465 6.36989
5.05 7.050265 5.515403 6.299423
5.05 6.973395 5.450004 6.22965
5.05 6.897375 5.385287 6.160593
5.05 6.82216 5.321174 6.092173
5.05 6.7479 5.25779 6.024517
5.05 6.674484 5.195124 5.957612
5.05 6.602062 5.133303 5.891596
5.05 6.530669 5.07237 5.82651
5.05 6.46061 5.012612 5.76265
5.05 6.391893 4.954042 5.700027
5.05 6.324704 4.896828 5.63881
5.05 6.259263 4.841196 5.579228
5.05 6.177511 4.771619 5.504676
5.05 6.094239 4.700898 5.428872
5.05 6.010679 4.630052 5.352913
5.05 5.927145 4.559096 5.276907
5.05 5.843738 4.488271 5.201021
5.05 5.76052 4.417694 5.125327
5.05 5.677539 4.347382 5.049835
5.05 5.591866 4.27477 4.971965
5.05 5.471105 4.171384 4.861506
5.05 5.348948 4.066879 4.749696
5.05 5.22515 3.961046 4.6363
5.05 5.099784 3.853873 4.521402
