input_position,distance,source_id,designation,ra,dec,l,b,ecl_lon,ecl_lat,parallax,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ra_error,dec_error,parallax_error,pmra_error,pmdec_error,a_g_percentile_lower,a_g_percentile_upper,a_g_val,astrometric_chi2_al,astrometric_excess_noise,astrometric_excess_noise_sig,astrometric_gof_al,astrometric_matched_observations,astrometric_n_bad_obs_al,astrometric_n_good_obs_al,astrometric_n_obs_ac,astrometric_n_obs_al,astrometric_params_solved,astrometric_primary_flag,astrometric_pseudo_colour,astrometric_pseudo_colour_error,astrometric_sigma5d_max,astrometric_weight_al,bp_g,bp_rp,dec_parallax_corr,dec_pmdec_corr,dec_pmra_corr,duplicated_source,e_bp_min_rp_percentile_lower,e_bp_min_rp_percentile_upper,e_bp_min_rp_val,flame_flags,frame_rotator_object_type,g_rp,lum_percentile_lower,lum_percentile_upper,lum_val,matched_observations,mean_varpi_factor_al,parallax_over_error,parallax_pmdec_corr,parallax_pmra_corr,phot_bp_mean_flux,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_n_obs,phot_bp_rp_excess_factor,phot_g_mean_flux,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_n_obs,phot_proc_mode,phot_rp_mean_flux,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_n_obs,phot_variable_flag,pmra_pmdec_corr,priam_flags,ra_dec_corr,radial_velocity,radial_velocity_error,radius_percentile_lower,radius_percentile_upper,radius_val,random_index,ra_parallax_corr,ra_pmdec_corr,ra_pmra_corr,ref_epoch,rv_nb_transits,rv_template_fe_h,rv_template_logg,rv_template_teff,solution_id,teff_percentile_lower,teff_percentile_upper,teff_val,visibility_periods_used,other_ids
436725060780311808,,436725060780311808,Gaia DR2 436725060780311808,48.545411218755405,50.174713742775076,145.0179780756299,-6.47482079592413,60.38430924375504,30.91010591380117,5.3158077442175244,23.398380133524686,-24.85843015144291,16.43586,18.14561,15.166605,0.08137823664901435,0.07141206014864243,0.12022567010535377,0.2783009498418893,0.21612184791780328,,,,417.55188,0.5216258825669742,10.931332282717024,9.073191,22,2,189,0,191,31,false,1.2749173305948658,0.018403627089016956,0.26415378,2.094426,1.7097511,2.9790058,0.0704082,0.15178546,-0.22933376,false,,,,,0,1.2692547,,,,25,-0.15384512,44.21525,0.26880124,-0.11910434,762.6247076887607,8.340782454345588,91.433235,20,1.5230858,5023.451254328611,8.959877893720684,560.6607,214,0,6888.522906159431,24.278680540661973,283.72723,23,NOT_AVAILABLE,-0.3069443,100001,0.10202238,,,,,,1400083010,-0.012149523,-0.21235497,0.19067523,2015.5,0,,,,1635721458409799680,3584.55,4600.33,4277.9375,10,Gaia DR1 436725056481452160
442826044645857408,,442826044645857408,Gaia DR2 442826044645857408,49.88599537529025,51.527003913060014,145.01862846037312,-4.879571532612242,61.811551105718976,31.940473702220245,5.844078826705782,24.683033281923947,-25.01201376054767,14.435543,15.509678,13.414838,0.02413659151217748,0.01855545297491545,0.03254578080056852,0.06821607600715444,0.0556551673328908,0.7432,1.5143,1.199,355.48676,0.097954495951771,1.8188830091922106,3.4579017,31,1,273,0,274,31,false,1.3639140851756941,0.00516757274026719,0.07613357,28.197956,1.0741348,2.09484,-0.038185094,0.092163436,0.015845649,false,0.349,0.7553,0.5863,,0,1.0207052,,,,35,0.029592168,179.56487,-0.04861702,0.31761065,8643.388277032696,30.056601067969453,287.57037,32,1.3633144,31705.085985238242,22.148508871068334,1431.4772,294,1,34580.61315592045,58.20518963631602,594.11566,30,NOT_AVAILABLE,0.29264638,100002,0.30654863,,,,,,1278662738,-0.12624736,0.03750916,-0.31244022,2015.5,0,,,,1635721458409799680,3768.75,4250.185,4072.3477,13,Gaia DR1 442826040346710272
442855559659436416,,442855559659436416,Gaia DR2 442855559659436416,48.718356513879506,51.354753268124846,144.49111778878816,-5.411872348941104,60.93262217907924,31.998999819036104,5.7606776171068095,23.86311157805474,-24.730973456710494,15.795244,17.359364,14.572299,0.05197941489206908,0.045755938315850064,0.07185732545017381,0.12982913656111686,0.11831340158994418,,,,830.28674,0.4277591847415906,16.338595559507336,15.627729,32,0,282,0,282,31,false,1.2970335855412056,0.012005372218195916,0.12331996,3.5291622,1.5641193,2.7870646,0.104587406,0.189687,-0.012253989,false,,,,,0,1.2229452,,,,34,-0.015755977,80.168274,0.09175988,0.18278004,1573.2927047926082,13.06802535668591,120.39253,34,1.4876179,9062.508875902797,11.818278551916238,766.8214,300,0,11908.257724913981,37.88893473674915,314.29382,34,NOT_AVAILABLE,0.11585291,100001,0.29408368,,,,,,1377109684,0.22393076,0.040357273,-0.067768455,2015.5,0,,,,1635721458409799680,3241.0,3958.2468,3559.55,14,Gaia DR1 442855555361548288
442831576563419520,,442831576563419520,Gaia DR2 442831576563419520,48.92804521631634,51.006627133107926,144.78716250450847,-5.639116668489856,60.953520479006144,31.62730856817518,5.715252659412968,23.5479688532464,-23.741440618048365,16.171883,17.865427,14.894723,0.05379246617595707,0.043856424405127235,0.07336906786854451,0.1797065706217576,0.12409832501167486,,,,576.7603,0.3802514965100855,9.81302330463162,9.623208,33,1,287,0,288,31,false,1.2807945347381728,0.011643125412101156,0.16776401,3.4542716,1.6935444,2.970704,-0.13473654,0.20825493,0.05339581,false,,,,,0,1.2771597,,,,34,-0.062845334,77.89731,-0.084451534,-0.13775404,987.152816956443,13.683123903601146,72.14382,32,1.5353885,6406.090314658573,6.509213212008665,984.1574,295,0,8848.684532839501,22.116632836294357,400.09186,30,NOT_AVAILABLE,0.1472852,100001,0.23971859,,,,,,1305729361,-0.043723542,0.043143284,0.22224969,2015.5,0,,,,1635721458409799680,4095.52,4803.217,4544.2,13,Gaia DR1 442831572262726528
446486353212747008,,446486353212747008,Gaia DR2 446486353212747008,50.95273792253894,53.80036175588197,144.3240139133017,-2.6199212457399637,63.36419027559494,33.91236694832107,5.739973344429797,23.09958021151276,-25.49794019211148,15.66106,17.201017,14.451862,0.0507710908136184,0.04363423877011263,0.06831089212479792,0.13791514483159348,0.1158818009907958,,,,495.80606,0.3709535469221173,12.2105131117217,9.658771,26,1,229,0,230,31,false,1.289180378698474,0.011902072163963506,0.12952195,4.483896,1.539957,2.749155,-0.19748943,0.02052355,0.12189223,false,,,,,0,1.209198,,,,27,-0.025199072,84.02721,-0.09104697,0.03553419,1820.320844131408,16.368973879203924,111.20556,22,1.4749924,10254.679115520597,19.531405633082155,525.0354,237,0,13305.252573249838,58.22098589604952,228.53018,25,NOT_AVAILABLE,0.10134122,100001,0.07867779,,,,,,1315850350,0.23016174,0.100813776,0.08809905,2015.5,0,,,,1635721458409799680,3683.5776,4143.2324,4076.08,14,
434488516689743232,,434488516689743232,Gaia DR2 434488516689743232,44.85346779213262,47.13050001441084,144.42562839736556,-10.330289918890996,56.61200792469245,28.78734780202707,5.743101819382133,23.889758701202673,-22.27023972612067,17.227772,19.06282,15.738843,0.11714314722246687,0.09133405011571138,0.14386582337103948,0.30093939151572496,0.2383916845303463,,,,325.50696,0.607528263780664,7.269225457538622,7.059207,19,0,168,0,168,31,false,1.2720086665919443,0.03159950639091128,0.27359852,1.233315,1.8350487,3.3239775,-0.005071165,0.08362191,0.050391253,false,,,,,0,1.4889288,,,,21,-0.06708375,39.91985,0.28135392,-0.016375,327.6630434761502,7.731472199867137,42.38042,20,1.8140457,2422.3517829656025,4.935877367898811,490.76416,176,0,4066.593767612263,26.220670897797902,155.09114,21,NOT_AVAILABLE,-0.10936286,,0.023492064,,,,,,44095749,0.13052304,0.13359214,-0.32649356,2015.5,0,,,,1635721458409799680,,,,11,Gaia DR1 434488512392288128
441640668027534720,,441640668027534720,Gaia DR2 441640668027534720,50.63548755132158,49.18763691593623,146.69951334201536,-6.583724266469688,61.53722385131848,29.56443639721901,5.995560127869875,23.214496893978296,-26.06506088238551,17.689953,19.564081,16.307459,0.10125518672221946,0.08481777429081797,0.13462067814083997,0.26782975908184947,0.23110847727733494,,,,382.29092,0.47242329960983376,3.4802959748564524,4.2723866,32,1,276,0,277,31,false,1.227006844146091,0.021728665524908,0.25319532,1.0250672,1.8741283,3.2566223,-0.12692092,0.14941378,0.009790764,false,,,,,0,1.382494,,,,34,-0.011336739,44.536694,-0.021253614,0.17877339,206.50132445018878,8.629782439302536,23.928915,21,1.6524986,1582.578833107873,2.458673057188031,643.67194,294,0,2408.7078956599426,12.082280554351646,199.35872,23,NOT_AVAILABLE,0.24983,,0.35667554,,,,,,744903814,0.0042353743,0.06503044,-0.1151267,2015.5,0,,,,1635721458409799680,,,,14,Gaia DR1 441640668027534720
441562942003238016,,441562942003238016,Gaia DR2 441562942003238016,52.96120680386782,49.987290355080134,147.50092357520526,-5.074838287759579,63.4632246311515,29.90421261359421,5.7848726121293845,22.84638286781435,-26.171988990453393,16.718363,18.527687,15.430415,0.07640798653430629,0.061696402093613725,0.1090257192754618,0.23759893422595746,0.16682040397215867,,,,542.4886,0.5329662405551874,11.208626443778412,10.027207,29,4,252,0,256,31,false,1.2608590338861005,0.01866118128912301,0.21422288,1.8459525,1.8093243,3.097272,-0.06653498,0.0011758873,0.038979013,false,,,,,0,1.2879477,,,,31,0.04987096,53.059708,0.20094812,-0.10244298,536.3901152273628,8.180341580598347,65.570625,25,1.5335951,3872.5857290928566,4.503097202686064,859.9827,269,0,5402.588212878376,17.830411307621123,302.9985,30,NOT_AVAILABLE,-0.0744816,100001,0.18048695,,,,,,123353370,0.114389256,0.024824498,0.12268819,2015.5,0,,,,1635721458409799680,3342.75,4065.0,3648.42,12,Gaia DR1 441562942003238016
441653243696011392,,441653243696011392,Gaia DR2 441653243696011392,50.494396682533825,49.21475816190603,146.60692151012205,-6.611551997022611,61.44484371320645,29.617174649296224,5.682004848563489,22.84248574179007,-24.85236877850082,9.098938,9.287756,8.809636,0.02806569131728139,0.02250183550573378,0.03940810557267208,0.07033463024413977,0.06213527277265792,0.368,0.751,0.5792,692.49695,0.0,0.0,12.779824,33,11,278,289,289,31,true,1.6770215314858403,0.006230069395242339,0.04653828,253.55228,0.18881798,0.47811985,0.110038936,-0.07288337,-0.011183616,false,0.1829,0.3721,0.2855,200111,0,0.28930187,5.157592,5.2637596,5.2106757,35,-0.058442608,144.18365,-0.09969474,0.24726954,2663502.0472371927,3242.391600758555,821.46216,33,1.1722302,4322859.0414437335,1092.8198231131983,3955.6924,298,0,2403884.3109221077,2207.946093701851,1088.7423,32,NOT_AVAILABLE,0.116142,100001,0.23557271,,,1.4427178,1.5627981,1.5016378,1330258906,0.20106153,-0.04053269,-0.2027072,2015.5,0,,,,1635721458409799680,6975.87,7260.3765,7116.5127,14,Gaia DR1 441653239394337024
441592667477558912,,441592667477558912,Gaia DR2 441592667477558912,52.218184238997026,49.84827692182478,147.1863377702465,-5.462240438985045,62.88849890733492,29.90408022856037,5.760173132991512,24.992731514906264,-26.089539319840046,5.5317554,5.534526,5.5717115,0.08918302659326052,0.07673429269923104,0.11860707407068231,0.22319357230514533,0.20604023442011477,0.1059,0.4351,0.3307,7180.2104,0.4973612164725144,114.10968539903153,69.18861,37,19,297,316,316,31,true,1.8026627834859408,0.021775303970182205,0.12329774,3.5717273,0.002770424,-0.03718567,-0.094639026,0.26401475,0.06051586,false,0.0566,0.218,0.1717,,0,-0.039956093,,,,45,0.021293538,48.565174,0.08360317,0.24342997,8.447823744722797E7,109864.90309490601,768.92834,33,1.1419277,1.1551653446274395E8,116235.88812874752,993.8113,344,0,4.7433294720168866E7,121207.13546864004,391.3408,37,NOT_AVAILABLE,0.20185404,100001,0.27161846,,,,,,802307273,0.11018839,0.1352004,-0.04432678,2015.5,0,,,,1635721458409799680,8339.667,9777.0,9645.75,14,
